Environment,Metric,Prior,Obs_Index,Mean_Value,CI_95
hyperbolic_temporal_discount,EIG,True,0,0.12947883368660631,0.011043861657432935
hyperbolic_temporal_discount,EIG,False,0,0.02475266852402695,0.004449095105621467
hyperbolic_temporal_discount,EIG,True,1,0.028421543503877655,0.007789183247187695
hyperbolic_temporal_discount,EIG,False,1,0.01818617781686352,0.0028782740147781194
hyperbolic_temporal_discount,EIG,True,3,0.08479146526961497,0.009055114866436982
hyperbolic_temporal_discount,EIG,False,3,0.02558932683039637,0.006144530238755649
hyperbolic_temporal_discount,EIG,True,5,0.11064451181208015,0.01855963537030185
hyperbolic_temporal_discount,EIG,False,5,-3.083117968158418e-06,3.6378367817641275e-06
hyperbolic_temporal_discount,EIG,True,7,0.09285924024584241,0.011108697169348012
hyperbolic_temporal_discount,EIG,False,7,1.4412487186338252e-12,9.449755848332319e-13
hyperbolic_temporal_discount,EIG,True,10,0.06900955300217353,0.020636240267073083
hyperbolic_temporal_discount,EIG,False,10,0.0,0.0
location_finding,EIG,True,0,0.0,0.0
location_finding,EIG,False,0,0.0,0.0
location_finding,EIG,True,1,0.0,0.0
location_finding,EIG,False,1,0.0,0.0
location_finding,EIG,True,3,0.0,0.0
location_finding,EIG,False,3,0.0,0.0
location_finding,EIG,True,5,0.0,0.0
location_finding,EIG,False,5,0.0,0.0
location_finding,EIG,True,7,0.0,0.0
location_finding,EIG,False,7,0.0,0.0
location_finding,EIG,True,10,0.0,0.0
location_finding,EIG,False,10,0.0,0.0
death_process,EIG,True,0,0.0379687527128794,0.0006123200988390605
death_process,EIG,False,0,0.038163189089764515,0.0012106589539287178
death_process,EIG,True,1,0.06978203401876874,0.04782067377759854
death_process,EIG,False,1,0.07405412577912107,0.05748014324449257
death_process,EIG,True,3,0.011230168922739713,0.0024999542567524084
death_process,EIG,False,3,0.011225195369683388,0.0019678165062381185
death_process,EIG,True,5,0.007862782048398503,0.0019279321073049668
death_process,EIG,False,5,0.0077551070611254925,0.003104008633075791
death_process,EIG,True,7,0.006050388473710694,0.0022991356446736737
death_process,EIG,False,7,0.006152686898238902,0.002093593124762696
death_process,EIG,True,10,0.004718808068160886,0.0009063324568193731
death_process,EIG,False,10,0.003935644193938175,0.0005097945730533149
dugongs,EIG,True,0,1.3012990251763479,0.021318898551295866
dugongs,EIG,True,1,0.9727982929682757,0.031182491901796405
dugongs,EIG,True,3,0.21373529593675306,0.04219809531846638
dugongs,EIG,True,5,0.3419729327451225,0.02859077405234118
dugongs,EIG,True,7,0.15493241648434938,0.015461764821714291
dugongs,EIG,True,10,0.13801082114699897,0.016044249279839502
survival,EIG,True,0,0.1642494424697555,0.039768793641361336
survival,EIG,True,1,0.18700842375171015,0.032498421039071745
survival,EIG,True,3,0.08450511277051495,0.09095890102517837
survival,EIG,True,5,0.13045764778173713,0.09068336495113244
survival,EIG,True,7,0.05595665203443323,0.06727209308017727
survival,EIG,True,10,0.09364975655686782,0.08273381339154616
peregrines,EIG,True,0,2.4058513903982024,0.03934687981724038
peregrines,EIG,True,1,0.35449376000375865,0.012832712492666029
peregrines,EIG,True,3,-1.3781207792618324e-06,2.6179873055122853e-06
peregrines,EIG,True,5,0.47186002571477326,0.3375172326543705
peregrines,EIG,True,7,0.37319443463595153,0.1401834880057342
peregrines,EIG,True,10,0.1537304542979634,0.09390529910210212
morals,EIG,True,0,0.014802721745972044,0.012218389373143445
morals,EIG,True,1,0.026637791649152594,0.011613231380217819
morals,EIG,True,3,0.010357578800302062,0.018346285480326067
morals,EIG,True,5,0.00975216348520668,0.021941945397463216
morals,EIG,True,7,0.006513374260224717,0.01083007859659217
morals,EIG,True,10,0.00480010970740412,0.010428795822250828
