Environment,Metric,Prior,Obs_Index,Mean_Value,CI_95
hyperbolic_temporal_discount,EIGRegret,True,0,0.5187151832398251,0.017842573853239063
hyperbolic_temporal_discount,EIGRegret,False,0,0.6224510922975381,0.011940281303394936
hyperbolic_temporal_discount,EIGRegret,True,1,0.6313628396326587,0.042059507689470484
hyperbolic_temporal_discount,EIGRegret,False,1,0.6452835967402734,0.01041093482206246
hyperbolic_temporal_discount,EIGRegret,True,3,0.5830772186941882,0.026457919834300413
hyperbolic_temporal_discount,EIGRegret,False,3,0.6284700991138206,0.017185688559409596
hyperbolic_temporal_discount,EIGRegret,True,5,0.5358593407350934,0.02224786859941092
hyperbolic_temporal_discount,EIGRegret,False,5,0.6577515346227677,0.00928750612795028
hyperbolic_temporal_discount,EIGRegret,True,7,0.5756872578381109,0.0035315408904754205
hyperbolic_temporal_discount,EIGRegret,False,7,0.6558410770034033,0.01987126113726734
hyperbolic_temporal_discount,EIGRegret,True,10,0.5901329103503995,0.021038656542805973
hyperbolic_temporal_discount,EIGRegret,False,10,0.6574173482577729,0.0062336962746516065
location_finding,EIGRegret,True,0,14.108133881939622,16.18474255004612
location_finding,EIGRegret,False,0,14.108133881939622,16.18474255004612
location_finding,EIGRegret,True,1,14.64278794527504,16.53160373484212
location_finding,EIGRegret,False,1,1.1024239984557789,1.1114105559089118
location_finding,EIGRegret,True,3,3.9484067091788355,4.896478768244466
location_finding,EIGRegret,False,3,15.702615576501538,16.561366198462522
location_finding,EIGRegret,True,5,2.321464707416725,1.824481120958672
location_finding,EIGRegret,False,5,10.845424447854885,17.17847795153477
location_finding,EIGRegret,True,7,27.212252135187715,19.87357743893425
location_finding,EIGRegret,False,7,17.541899835193565,19.016915383537153
location_finding,EIGRegret,True,10,4.57698289002961,4.975255687991498
location_finding,EIGRegret,False,10,11.044416976494807,15.784811079897139
death_process,EIGRegret,True,0,0.22665505568700378,0.010131324848946147
death_process,EIGRegret,False,0,0.22838356862176523,0.010378348914793403
death_process,EIGRegret,True,1,0.007161954992920669,0.007880756466525068
death_process,EIGRegret,False,1,0.00539156473002365,0.001683371090877166
death_process,EIGRegret,True,3,0.004955453595032515,0.0031375008816161287
death_process,EIGRegret,False,3,0.005764791764958267,0.004094548715015519
death_process,EIGRegret,True,5,0.0023330611863184142,0.001280830156036046
death_process,EIGRegret,False,5,0.003115484546374067,0.00230876043627328
death_process,EIGRegret,True,7,0.0007188409310018386,0.0007343700085974367
death_process,EIGRegret,False,7,0.0012641931111287358,0.0006124756104777475
death_process,EIGRegret,True,10,0.0006853892411749515,0.00024204066108801078
death_process,EIGRegret,False,10,0.0018313851585083044,0.0006924671585144958
dugongs,EIGRegret,True,0,0.034897834640770634,0.02762988261728171
dugongs,EIGRegret,True,1,-0.08657665731619366,0.048469765054474874
dugongs,EIGRegret,True,3,0.27924095381564745,0.0879115863567734
dugongs,EIGRegret,True,5,0.1314638162869135,0.06835747891063972
dugongs,EIGRegret,True,7,0.1781001319568661,0.06025607018423373
dugongs,EIGRegret,True,10,0.2047674438008933,0.06265772727122398
survival,EIGRegret,True,0,0.09995165781120474,0.041897375508168196
survival,EIGRegret,True,1,0.07885741329357383,0.038280643114585684
survival,EIGRegret,True,3,0.10651204454071958,0.08542657175938421
survival,EIGRegret,True,5,0.04090288340193355,0.02211563724047515
survival,EIGRegret,True,7,0.1044759924770539,0.06444010394623917
survival,EIGRegret,True,10,0.05859845271987196,0.044976923808761234
peregrines,EIGRegret,True,0,0.056617755406459656,0.014069392565171715
peregrines,EIGRegret,True,1,0.6513819891623431,0.0410940127164239
peregrines,EIGRegret,True,3,0.918131452386229,0.035493744779246196
peregrines,EIGRegret,True,5,0.4482179598647834,0.3198517463472694
peregrines,EIGRegret,True,7,0.25586605465287154,0.1884261428216869
peregrines,EIGRegret,True,10,0.3939193338683037,0.20532896252481386
morals,EIGRegret,True,0,0.041061876992663685,0.010832180575498762
morals,EIGRegret,True,1,0.03540913221025185,0.007358297929203644
morals,EIGRegret,True,3,0.05005976274391684,0.01679592748869924
morals,EIGRegret,True,5,0.05399746199355561,0.016449212976532537
morals,EIGRegret,True,7,0.04748301824444653,0.012440831123993875
morals,EIGRegret,True,10,0.06758307891922044,0.006978116217504368
