Environment,Metric,Prior,Obs_Index,Mean_Value,CI_95
hyperbolic_temporal_discount,MeanEIG,True,-1,0.0787471267121961,0.019752693835803678
hyperbolic_temporal_discount,MeanEIG,False,-1,0.031638806100315255,0.009779595845954859
location_finding,MeanEIG,True,-1,0.0,0.0
location_finding,MeanEIG,False,-1,0.0,0.0
death_process,MeanEIG,True,-1,0.014966304568901806,0.005772883590075086
death_process,MeanEIG,False,-1,0.015269068203754732,0.006851814288811013
dugongs,MeanEIG,True,-1,0.3497010146080495,0.022890531091287743
survival,MeanEIG,True,-1,0.10415062586599363,0.06315793256177421
peregrines,MeanEIG,True,-1,0.4387686373253114,0.09153082529911769
morals,MeanEIG,True,-1,0.013180888635595706,0.013026259574251946
