Environment,Metric,Prior,Obs_Index,Mean_Value,CI_95
hyperbolic_temporal_discount,MeanEIGRegret,True,-1,0.5812309953947646,0.0248209242348331
hyperbolic_temporal_discount,MeanEIGRegret,False,-1,0.629399776753133,0.01443658019739505
location_finding,MeanEIGRegret,True,-1,15.232768755033401,12.526238722690096
location_finding,MeanEIGRegret,False,-1,13.584175393628588,14.661963964221815
death_process,MeanEIGRegret,True,-1,0.024492996561142743,0.0024445854803690926
death_process,MeanEIGRegret,False,-1,0.025033321840956857,0.002144693456007006
dugongs,MeanEIGRegret,True,-1,0.16502398660882095,0.059353023116295055
survival,MeanEIGRegret,True,-1,0.07636257131686516,0.0444342136915673
peregrines,MeanEIGRegret,True,-1,0.3985275584837709,0.17480708163076059
morals,MeanEIGRegret,True,-1,0.04813091345591368,0.01215904851978972
