Environment,Norm μ,Norm σ,Prior Error (First Obs),Prior Error (First Obs CI),Prior Error (Last Obs),Prior Error (Last Obs CI),No Prior Error (First Obs),No Prior Error (First Obs CI),No Prior Error (Last Obs),No Prior Error (Last Obs CI)
hyperbolic_temporal_discount,0.5000,0.4693,1.0000,±0.0000,1.0426,±0.0747,1.0000,±0.0000,0.9574,±0.0747
location_finding,12.5900,38.0300,1.3181,±1.1379,1.1952,±0.9247,52.6805,±92.0107,52.6213,±92.0364
death_process,222.2998,189.7685,0.1525,±0.5475,-0.2226,±0.9944,1.0452,±0.7298,-0.0078,±0.4074
irt,0.5000,0.5000,-0.0800,±0.0859,0.0400,±0.2044,0.1200,±0.3057,0.0800,±0.2378
dugongs,0.9059,9.2342,-0.0432,±0.0278,-0.0792,±0.0112,-0.0115,±0.0892,-0.0714,±0.0113
survival,0.2604,0.4389,-0.1384,±0.4113,0.4540,±0.1263,0.4996,±0.0799,0.3173,±0.1598
peregrines,10991.5464,15725.1157,2.0256,±0.4443,-0.3186,±0.1711,2.9942,±0.7749,0.0853,±0.3136
morals,0.4240,0.4942,0.6843,±0.1327,0.7248,±0.0869,N/A,N/A,N/A,N/A
emotion,1.5851,0.7237,1.1157,±0.1947,2.3765,±0.5444,N/A,N/A,N/A,N/A
lotka_volterra,8.3274,17.5483,0.5592,±0.1106,93067408.4699,±163154360.8798,0.6219,±0.0600,-0.1862,±0.0541
