Environment,Norm μ,Norm σ,With Prior (Mean),With Prior (95% CI),No Prior (Mean),No Prior (95% CI)
hyperbolic_temporal_discount,0.5000,0.4693,1.0852,±0.0915,1.0426,±0.0747
location_finding,12.5900,38.0300,0.6664,±0.8085,0.2205,±0.4018
death_process,222.2998,189.7685,-0.4360,±0.5180,-0.0388,±0.9310
irt,0.5000,0.5000,-0.0400,±0.2044,0.1200,±0.3057
dugongs,0.9059,9.2342,-0.0701,±0.0111,-0.0500,±0.0274
survival,0.2604,0.4389,0.0439,±0.3436,0.4085,±0.1957
peregrines,10991.5464,15725.1157,0.3820,±0.9744,1.0767,±0.6869
morals,0.4240,0.4942,0.7428,±0.2380,N/A,N/A
emotion,1.5851,0.7237,1.8065,±0.3515,N/A,N/A
lotka_volterra,8.3274,17.5483,-0.1001,±0.1695,0.3734,±0.3733
