Environment,Norm μ,Norm σ,Prior Error (First Obs),Prior Error (First Obs CI),Prior Error (Last Obs),Prior Error (Last Obs CI),No Prior Error (First Obs),No Prior Error (First Obs CI),No Prior Error (Last Obs),No Prior Error (Last Obs CI)
hyperbolic_temporal_discount,0.5000,0.4693,0.3181,±0.3214,0.1903,±0.1830,0.8721,±0.1905,0.9148,±0.0915
location_finding,12.5900,38.0300,3.2881,±4.3960,2.9740,±4.4147,4.3278,±4.1975,3.9246,±4.1524
death_process,222.2998,189.7685,0.5484,±1.2705,-1.1176,±0.0379,-0.1472,±0.5062,-1.0896,±0.0538
irt,0.5000,0.5000,-0.2000,±0.1109,-0.0400,±0.1312,-0.1600,±0.3576,0.1200,±0.0859
dugongs,0.9059,9.2342,157.2758,±119.1270,-0.0891,±0.0034,-0.0083,±0.0575,-0.0881,±0.0041
survival,0.2604,0.4389,0.0894,±0.2709,0.4085,±0.1495,0.1806,±0.3196,0.1806,±0.3873
peregrines,10991.5464,15725.1157,1.5860,±1.1721,-0.6828,±0.0069,3.1489,±1.6259,-0.5584,±0.1554
morals,0.4240,0.4942,0.3606,±0.1419,0.1987,±0.1327,N/A,N/A,N/A,N/A
emotion,1.5851,0.7237,0.6735,±0.1698,0.7909,±0.1806,N/A,N/A,N/A,N/A
lotka_volterra,8.3274,17.5483,1.7633,±0.1901,-0.4238,±0.0320,0.7005,±0.0960,-0.4500,±0.0103
