environment,prior_error_first_obs,prior_error_first_obs_ci,prior_error_last_obs,prior_error_last_obs_ci,no_prior_error_first_obs,no_prior_error_first_obs_ci,no_prior_error_last_obs,no_prior_error_last_obs_ci,norm_mean,norm_std
hyperbolic_temporal_discount,,,,,,,,,0.5,0.4693
location_finding,,,,,,,,,12.59,38.03
death_process,,,,,,,,,222.2998,189.7685
irt,,,,,,,,,0.5,0.5
dugongs,,,,,,,,,0.9059,9.2342
survival,,,,,,,,,0.2604,0.4389
peregrines,,,,,,,,,10991.5464,15725.1157
morals,,,,,,,,,0.424,0.4942
emotion,,,,,,,,,1.5851,0.7237
lotka_volterra,,,,,,,,,8.3274,17.5483
