Environment	Mean Error @ 0	StdDev @ 0	Mean Error @ 10	StdDev @ 10	Condition	Model
hyperbolic_temporal_discount	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
location_finding	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
death_process	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
irt	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
dugongs	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
survival	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
peregrines	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
morals	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
emotion	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
lotka_volterra	N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
hyperbolic_temporal_discount	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
location_finding	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
death_process	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
irt	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
dugongs	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
survival	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
peregrines	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
morals	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
emotion	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
lotka_volterra	N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
