Mean Error @ 0	StdDev @ 0	Mean Error @ 10	StdDev @ 10	Condition	Model
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	No prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
N/A	N/A	N/A	N/A	Prior	gpt-4o-boxloop
