Environment,Norm μ,Norm σ,With Prior (Mean),With Prior (95% CI),No Prior (Mean),No Prior (95% CI)
hyperbolic_temporal_discount,0.5000,0.4693,0.7869,±0.3736,0.9574,±0.0747
location_finding,12.5900,38.0300,13.9702,±19.9001,1.5195,±1.2783
death_process,222.2998,189.7685,-1.0829,±0.0127,-1.0011,±0.1127
irt,0.5000,0.5000,0.1200,±0.1788,0.1200,±0.1402
dugongs,0.9059,9.2342,-0.0579,±0.0367,-0.0731,±0.0243
survival,0.2604,0.4389,1.0009,±0.4113,0.4540,±0.1786
peregrines,10991.5464,15725.1157,-0.6524,±0.0202,-0.6627,±0.0303
morals,0.4240,0.4942,0.6843,±0.1327,N/A,N/A
emotion,1.5851,0.7237,0.9049,±0.5796,N/A,N/A
lotka_volterra,8.3274,17.5483,-0.0078,±0.1152,-0.0682,±0.4006
