Environment,Norm μ,Norm σ,Prior Error (First Obs),Prior Error (First Obs CI),Prior Error (Last Obs),Prior Error (Last Obs CI),No Prior Error (First Obs),No Prior Error (First Obs CI),No Prior Error (Last Obs),No Prior Error (Last Obs CI)
hyperbolic_temporal_discount,0.5000,0.4693,0.3181,±0.0747,0.8721,±0.1494,0.9574,±0.2989,1.0426,±0.0747
location_finding,12.5900,38.0300,0.2981,±0.4954,0.5932,±1.0744,0.6328,±0.7584,0.8580,±0.9156
death_process,222.2998,189.7685,0.5359,±1.0167,-1.0637,±0.0519,-0.3078,±0.5873,-1.0422,±0.0250
irt,0.5000,0.5000,0.1200,±0.1402,-0.2400,±0.2044,0.0800,±0.2848,0.0000,±0.2479
dugongs,0.9059,9.2342,-0.0405,±0.0298,-0.0849,±0.0084,-0.0394,±0.0316,-0.0831,±0.0081
survival,0.2604,0.4389,0.0439,±0.2650,0.3629,±0.2037,0.3173,±0.1598,0.2717,±0.2329
peregrines,10991.5464,15725.1157,1.9523,±0.4331,-0.5686,±0.1802,1.3018,±0.2234,-0.6475,±0.0267
morals,0.4240,0.4942,0.4010,±0.1327,0.3606,±0.0869,N/A,N/A,N/A,N/A
emotion,1.5851,0.7237,1.0397,±0.4104,1.2227,±0.5594,N/A,N/A,N/A,N/A
lotka_volterra,8.3274,17.5483,0.3768,±0.0826,-0.3099,±0.0898,0.7484,±0.0460,-0.4233,±0.0275
