Environment,Norm μ,Norm σ,With Prior (Mean),With Prior (95% CI),No Prior (Mean),No Prior (95% CI)
hyperbolic_temporal_discount,0.5000,0.4693,0.5028,±0.1042,0.9148,±0.1494
location_finding,12.5900,38.0300,56.7106,±90.3190,8.9779,±12.3417
death_process,222.2998,189.7685,-0.9576,±0.1390,-0.9930,±0.0479
irt,0.5000,0.5000,-0.1600,±0.2576,-0.0400,±0.0701
dugongs,0.9059,9.2342,-0.0813,±0.0092,-0.0868,±0.0066
survival,0.2604,0.4389,0.7275,±0.4265,0.4085,±0.3196
peregrines,10991.5464,15725.1157,-0.3530,±0.4049,-0.4312,±0.1745
morals,0.4240,0.4942,0.3201,±0.1809,N/A,N/A
emotion,1.5851,0.7237,1.4127,±0.3481,N/A,N/A
lotka_volterra,8.3274,17.5483,-0.0033,±0.2330,-0.3184,±0.0982
