Environment,Norm μ,Norm σ,Prior Error (First Obs),Prior Error (First Obs CI),Prior Error (Last Obs),Prior Error (Last Obs CI),No Prior Error (First Obs),No Prior Error (First Obs CI),No Prior Error (Last Obs),No Prior Error (Last Obs CI)
hyperbolic_temporal_discount,0.5000,0.4693,0.8721,±0.0915,1.0000,±0.0000,0.6591,±0.2796,0.4460,±0.4023
location_finding,12.5900,38.0300,26.4845,±46.5756,46.6752,±50.6705,0.3802,±0.5874,47.4957,±83.3093
death_process,222.2998,189.7685,-0.3006,±0.1930,-1.0728,±0.0357,0.0810,±0.7351,-0.9984,±0.0924
irt,0.5000,0.5000,0.0000,±0.0000,0.0000,±0.3998,0.0000,±0.0000,0.0800,±0.1788
dugongs,0.9059,9.2342,0.0289,±0.1014,-0.0705,±0.0180,-0.0246,±0.0278,-0.0730,±0.0180
survival,0.2604,0.4389,0.0894,±0.3705,0.3173,±0.3482,0.7275,±0.1957,0.3173,±0.2709
peregrines,10991.5464,15725.1157,3.7788,±1.5322,-0.2659,±0.3233,3.9563,±0.9727,-0.4482,±0.1004
morals,0.4240,0.4942,0.5225,±0.2655,0.4820,±0.2607,N/A,N/A,N/A,N/A
emotion,1.5851,0.7237,1.5509,±0.3171,0.9913,±0.2466,N/A,N/A,N/A,N/A
lotka_volterra,8.3274,17.5483,0.7911,±0.1268,33858634.5282,±59356803.8880,0.6880,±0.0747,-0.3463,±0.0680
