Environment,Prior,Obs_Index,Mean_EIG,CI_95
hyperbolic_temporal_discount,True,0,0.12312433190891833,0.02351591222157216
hyperbolic_temporal_discount,True,1,0.029179023174528976,0.00661181574652788
hyperbolic_temporal_discount,True,3,0.10236054059697858,0.016639748894418275
hyperbolic_temporal_discount,True,5,0.0628367817260415,0.022305999633170974
hyperbolic_temporal_discount,True,7,0.0632354467548973,0.023854292120466653
hyperbolic_temporal_discount,False,0,0.02475266852402695,0.004974239547265604
hyperbolic_temporal_discount,False,1,0.01818617781686352,0.003218008177457555
hyperbolic_temporal_discount,False,3,-3.083117968158418e-06,4.067225167536828e-06
hyperbolic_temporal_discount,False,5,0.0,0.0
hyperbolic_temporal_discount,False,7,0.040259883546799324,0.02977684461338731
location_finding,True,0,0.0,0.0
location_finding,True,1,0.0,0.0
location_finding,True,3,0.0,0.0
location_finding,True,5,0.0,0.0
location_finding,True,7,0.0,0.0
location_finding,False,0,0.0,0.0
location_finding,False,1,0.0,0.0
location_finding,False,3,0.0,0.0
location_finding,False,5,0.0,0.0
location_finding,False,7,0.0,0.0
death_process,True,0,0.037931996330271354,0.0007272353625015598
death_process,True,1,0.06972691882009595,0.052924294968421014
death_process,True,3,0.007851186425391928,0.002149481890787764
death_process,True,5,0.004637338969054938,0.0009861994589173161
death_process,True,7,0.003096061983640803,0.000479073079945219
death_process,False,0,0.038163189089764515,0.0013535578592766997
death_process,False,1,0.07405412577912107,0.06426475382555535
death_process,False,3,0.0077551070611254925,0.0034703871531518355
death_process,False,5,0.003935644193938175,0.0005699676599538472
death_process,False,7,0.0031996975083564082,0.0007053006179304547
irt,True,0,0.13421827571669154,0.007488196750314762
irt,True,1,0.11777030605267566,0.01828096382278962
irt,True,3,0.11607138069648573,0.010077400440604647
irt,True,5,0.13159166044788764,0.011134425878995399
irt,True,7,0.11628487744045422,0.014923272768825558
irt,False,0,0.12630445150118927,0.01526897886079316
irt,False,1,0.12496259253955176,0.009041931636774787
irt,False,3,0.11757090337539765,0.013803901189424912
irt,False,5,0.1104448828449165,0.01846078758105467
irt,False,7,0.13185363780560266,0.008065049469502214
dugongs,True,0,1.3323301345219056,0.048843365386244786
dugongs,True,1,0.9890310059240791,0.04867530113586581
dugongs,True,3,0.3263985582070554,0.019965572999723645
dugongs,True,5,0.13351413121631223,0.01648026182788818
dugongs,True,7,0.11203626185368601,0.03736006922601774
dugongs,False,0,1.2902921117853314,0.03757620271467506
dugongs,False,1,0.6127851989888526,0.3221102842183044
dugongs,False,3,0.42305730371677847,0.2879005564135798
dugongs,False,5,0.10489469608943751,0.03598641717266333
dugongs,False,7,0.06673919422822316,0.009782995918871357
survival,True,0,0.16445916226768126,0.04426396381045479
survival,True,1,0.1874812287043585,0.03626130891465572
survival,True,3,0.12739596732088276,0.09977600220387646
survival,True,5,0.07715790366445517,0.06774431152775232
survival,True,7,0.04646131595828862,0.04419253206474222
survival,False,0,0.18675894490840222,0.04402433375159934
survival,False,1,0.05071352152400187,0.0896928230444115
survival,False,3,0.13848186537086,0.08290145193068252
survival,False,5,0.04143001497847874,0.04758522812446534
survival,False,7,0.05203925021861972,0.08238060596743317
peregrines,True,0,2.3841611705798074,0.052570877652113705
peregrines,True,1,0.3543487695487317,0.014351556313383154
peregrines,True,3,0.46969429082231096,0.37991213338202595
peregrines,True,5,0.14516231837179241,0.11389598895824221
peregrines,True,7,0.11876328103982714,0.1060454312197298
peregrines,False,0,2.4324209868860818,0.037310222936993175
peregrines,False,1,0.35767476686828725,0.03009388923548702
peregrines,False,3,0.8326189037629714,0.05036343137138547
peregrines,False,5,0.30650631069739737,0.06921438558268958
peregrines,False,7,0.15256426685760205,0.021016475089520106
morals,True,0,0.016049198619239924,0.012244110894423739
morals,True,1,0.02546315161640175,0.011277818142895815
morals,True,3,0.016027058659014767,0.015292477462707572
morals,True,5,0.011072196710701202,0.014328800112135234
morals,True,7,0.007442624511166247,0.01590007157277223
emotion,True,0,0.44069060322905135,0.032822666530005595
emotion,True,1,0.42073780137213945,0.21789756370465438
emotion,True,3,-0.07870421245535662,0.015514466737657074
emotion,True,5,-0.07187929661290227,0.1433059939345244
emotion,True,7,-0.1574262668079576,0.0
